Date,Close
7/16/2010,5393.899902
7/19/2010,5386.450195
7/20/2010,5368
7/21/2010,5399.350098
7/22/2010,5441.950195
7/23/2010,5449.100098
7/26/2010,5418.600098
7/27/2010,5430.600098
7/28/2010,5397.549805
7/29/2010,5408.899902
7/30/2010,5367.600098
8/2/2010,5431.649902
8/3/2010,5439.549805
8/4/2010,5467.850098
8/5/2010,5447.100098
8/6/2010,5439.25
8/9/2010,5486.149902
8/10/2010,5460.700195
8/11/2010,5420.600098
8/12/2010,5416.450195
8/13/2010,5452.100098
8/16/2010,5418.299805
8/17/2010,5414.149902
8/18/2010,5479.149902
8/19/2010,5540.200195
8/20/2010,5530.649902
8/23/2010,5543.5
8/24/2010,5505.100098
8/25/2010,5462.350098
8/26/2010,5477.899902
8/27/2010,5408.700195
8/30/2010,5415.450195
8/31/2010,5402.399902
9/1/2010,5471.850098
9/2/2010,5486.149902
9/3/2010,5479.399902
9/6/2010,5576.950195
9/7/2010,5604
9/8/2010,5607.850098
9/9/2010,5640.049805
9/13/2010,5760
9/14/2010,5795.549805
9/15/2010,5860.950195
9/16/2010,5828.700195
9/17/2010,5884.950195
9/20/2010,5980.450195
9/21/2010,6009.049805
9/22/2010,5991
9/23/2010,5959.549805
9/24/2010,6018.299805
9/27/2010,6035.649902
9/28/2010,6029.5
9/29/2010,5991.299805
9/30/2010,6029.950195
10/1/2010,6143.399902
10/4/2010,6159.450195
10/5/2010,6145.799805
10/6/2010,6186.450195
10/7/2010,6120.299805
10/8/2010,6103.450195
10/11/2010,6135.850098
10/12/2010,6090.899902
10/13/2010,6233.899902
10/14/2010,6177.350098
10/15/2010,6062.649902
10/18/2010,6075.950195
10/19/2010,6027.299805
10/20/2010,5982.100098
10/21/2010,6101.5
10/22/2010,6066.049805
10/25/2010,6105.799805
10/26/2010,6082
10/27/2010,6012.649902
10/28/2010,5987.700195
10/29/2010,6017.700195
11/1/2010,6117.549805
11/2/2010,6119
11/3/2010,6160.5
11/4/2010,6281.799805
11/8/2010,6273.200195
11/9/2010,6301.549805
11/10/2010,6275.700195
11/11/2010,6194.25
11/12/2010,6071.649902
11/15/2010,6121.600098
11/16/2010,5988.700195
11/18/2010,5998.799805
11/19/2010,5890.299805
11/22/2010,6010
11/23/2010,5934.75
11/24/2010,5865.75
11/25/2010,5799.75
11/26/2010,5751.950195
11/29/2010,5830
11/30/2010,5862.700195
12/1/2010,5960.899902
12/2/2010,6011.700195
12/3/2010,5992.799805
12/6/2010,5992.25
12/7/2010,5976.549805
12/8/2010,5903.700195
12/9/2010,5766.5
12/10/2010,5857.350098
12/13/2010,5907.649902
12/14/2010,5944.100098
12/15/2010,5892.299805
12/16/2010,5948.75
12/20/2010,5947.049805
12/21/2010,6000.649902
